time;model_id;model_name;port_name;data
0;123;976696;;2511862, 0, 0, 0, 0.00
0;124;976695;;2511861, 0, 0, 0, 0.00
0;125;976693;;2511859, 0, 0, 0, 0.00
0;126;976692;;2511858, 0, 0, 0, 0.00
0;127;976340;;2510886, 0, 0, 0, 0.00
0;128;976339;;2510885, 0, 0, 0, 0.00
0;129;976338;;2510884, 0, 0, 0, 0.00
0;130;976335;;2510881, 0, 0, 0, 0.00
0;131;976334;;2510880, 0, 0, 0, 0.00
0;132;976333;;2510879, 0, 0, 0, 0.00
0;133;976330;;2510876, 0, 0, 0, 0.00
0;134;976329;;2510875, 0, 0, 0, 0.00
0;135;978243;;2515887, 0, 0, 0, 0.00
0;136;976328;;2510874, 0, 0, 0, 0.00
0;137;976325;;2510871, 0, 0, 0, 0.00
0;138;980149;;2520885, 0, 0, 0, 0.00
0;139;976324;;2510870, 0, 0, 0, 0.00
0;140;978998;;2517880, 0, 0, 0, 0.00
0;141;976322;;2510868, 0, 0, 0, 0.00
0;142;976321;;2510867, 0, 0, 0, 0.00
0;143;976320;;2510866, 0, 0, 0, 0.00
0;144;976319;;2510865, 0, 0, 0, 0.00
0;145;976318;;2510864, 0, 0, 0, 0.00
0;146;976315;;2510861, 0, 0, 0, 0.00
0;147;976313;;2510859, 0, 0, 0, 0.00
0;148;976719;;2511885, 0, 0, 0, 0.00
0;149;975958;;2509883, 0, 0, 0, 0.00
0;150;975956;;2509881, 0, 0, 0, 0.00
0;151;975955;;2509880, 0, 0, 0, 0.00
0;152;977094;;2512880, 0, 0, 0, 0.00
0;153;975953;;2509878, 0, 0, 0, 0.00
0;154;979769;;2519887, 0, 0, 0, 0.00
0;155;977454;;2513860, 0, 0, 0, 0.00
0;156;975951;;2509876, 0, 0, 0, 0.00
0;157;975950;;2509875, 0, 0, 0, 0.00
0;158;971796;;2498878, 0, 0, 0, 0.00
0;159;974422;;2505863, 0, 0, 0, 0.00
0;160;976327;;2510873, 0, 0, 0, 0.00
0;161;971786;;2498868, 0, 0, 0, 0.00
0;162;974797;;2506860, 0, 0, 0, 0.00
0;163;975954;;2509879, 0, 0, 0, 0.00
0;164;971784;;2498866, 0, 0, 0, 0.00
0;165;971779;;2498861, 0, 0, 0, 0.00
0;166;979768;;2519886, 0, 0, 0, 0.00
0;167;971777;;2498859, 0, 0, 0, 0.00
0;168;974440;;2505881, 0, 0, 0, 0.00
0;169;971420;;2497878, 0, 0, 0, 0.00
0;170;969910;;2493870, 0, 0, 0, 0.00
0;171;969540;;2492875, 0, 0, 0, 0.00
0;172;970285;;2494870, 0, 0, 0, 0.00
0;173;975187;;2507870, 0, 0, 0, 0.00
0;174;971787;;2498869, 0, 0, 0, 0.00
0;175;971413;;2497871, 0, 0, 0, 0.00
0;176;977833;;2514858, 0, 0, 0, 0.00
0;177;974425;;2505866, 0, 0, 0, 0.00
0;178;971404;;2497862, 0, 0, 0, 0.00
0;179;969898;;2493858, 0, 0, 0, 0.00
0;180;972541;;2500870, 0, 0, 0, 0.00
0;181;971403;;2497861, 0, 0, 0, 0.00
0;182;973674;;2503871, 0, 0, 0, 0.00
0;183;971402;;2497860, 0, 0, 0, 0.00
0;184;978622;;2516885, 0, 0, 0, 0.00
0;185;971396;;2497854, 0, 0, 0, 0.00
0;186;970663;;2495873, 0, 0, 0, 0.00
0;187;974423;;2505864, 0, 0, 0, 0.00
0;188;971041;;2496875, 0, 0, 0, 0.00
0;189;979764;;2519882, 0, 0, 0, 0.00
0;190;971040;;2496874, 0, 0, 0, 0.00
0;191;969161;;2491870, 0, 0, 0, 0.00
0;192;971407;;2497865, 0, 0, 0, 0.00
0;193;971035;;2496869, 0, 0, 0, 0.00
0;194;971031;;2496865, 0, 0, 0, 0.00
0;195;971029;;2496863, 0, 0, 0, 0.00
0;196;972528;;2500857, 0, 0, 0, 0.00
0;197;976691;;2511857, 0, 0, 0, 0.00
0;198;971022;;2496856, 0, 0, 0, 0.00
0;199;971023;;2496857, 0, 0, 0, 0.00
0;200;971791;;2498873, 0, 0, 0, 0.00
0;201;970662;;2495872, 0, 0, 0, 0.00
0;202;974043;;2504862, 0, 0, 0, 0.00
0;203;971776;;2498858, 0, 0, 0, 0.00
